id,pair,family,variant,budget,expected,parsed,complete,correct,formatted_answer_matches,reason,tokens,seconds
changing_percentage_base-00-direct,changing_percentage_base-00,changing_percentage_base,direct,256,-206/5,,False,False,False,incomplete,4096,76.6035039169983
changing_percentage_base-00-direct,changing_percentage_base-00,changing_percentage_base,direct,1024,-206/5,,False,False,False,incomplete,4096,76.6035039169983
changing_percentage_base-00-direct,changing_percentage_base-00,changing_percentage_base,direct,4096,-206/5,,False,False,False,incomplete,4096,76.6035039169983
changing_percentage_base-00-reworded,changing_percentage_base-00,changing_percentage_base,reworded,256,-206/5,,False,False,False,incomplete,4096,75.21805550000136
changing_percentage_base-00-reworded,changing_percentage_base-00,changing_percentage_base,reworded,1024,-206/5,,False,False,False,incomplete,4096,75.21805550000136
changing_percentage_base-00-reworded,changing_percentage_base-00,changing_percentage_base,reworded,4096,-206/5,,False,False,False,incomplete,4096,75.21805550000136
changing_percentage_base-01-direct,changing_percentage_base-01,changing_percentage_base,direct,256,124/25,,False,False,False,incomplete,4096,76.81905420900148
changing_percentage_base-01-direct,changing_percentage_base-01,changing_percentage_base,direct,1024,124/25,,False,False,False,incomplete,4096,76.81905420900148
changing_percentage_base-01-direct,changing_percentage_base-01,changing_percentage_base,direct,4096,124/25,,False,False,False,incomplete,4096,76.81905420900148
changing_percentage_base-01-reworded,changing_percentage_base-01,changing_percentage_base,reworded,256,124/25,,False,False,False,incomplete,4096,77.26727770900106
changing_percentage_base-01-reworded,changing_percentage_base-01,changing_percentage_base,reworded,1024,124/25,,False,False,False,incomplete,4096,77.26727770900106
changing_percentage_base-01-reworded,changing_percentage_base-01,changing_percentage_base,reworded,4096,124/25,,False,False,False,incomplete,4096,77.26727770900106
changing_percentage_base-02-direct,changing_percentage_base-02,changing_percentage_base,direct,256,-65/4,,False,False,False,incomplete,4096,77.05604020800092
changing_percentage_base-02-direct,changing_percentage_base-02,changing_percentage_base,direct,1024,-65/4,,False,False,False,incomplete,4096,77.05604020800092
changing_percentage_base-02-direct,changing_percentage_base-02,changing_percentage_base,direct,4096,-65/4,,False,False,False,incomplete,4096,77.05604020800092
changing_percentage_base-02-reworded,changing_percentage_base-02,changing_percentage_base,reworded,256,-65/4,,False,False,False,incomplete,4096,75.88800845899823
changing_percentage_base-02-reworded,changing_percentage_base-02,changing_percentage_base,reworded,1024,-65/4,,False,False,False,incomplete,4096,75.88800845899823
changing_percentage_base-02-reworded,changing_percentage_base-02,changing_percentage_base,reworded,4096,-65/4,,False,False,False,incomplete,4096,75.88800845899823
changing_percentage_base-03-direct,changing_percentage_base-03,changing_percentage_base,direct,256,122/25,,False,False,False,incomplete,4096,75.77943495799991
changing_percentage_base-03-direct,changing_percentage_base-03,changing_percentage_base,direct,1024,122/25,,False,False,False,incomplete,4096,75.77943495799991
changing_percentage_base-03-direct,changing_percentage_base-03,changing_percentage_base,direct,4096,122/25,,False,False,False,incomplete,4096,75.77943495799991
changing_percentage_base-03-reworded,changing_percentage_base-03,changing_percentage_base,reworded,256,122/25,,False,False,False,incomplete,4096,77.8923408749979
changing_percentage_base-03-reworded,changing_percentage_base-03,changing_percentage_base,reworded,1024,122/25,,False,False,False,incomplete,4096,77.8923408749979
changing_percentage_base-03-reworded,changing_percentage_base-03,changing_percentage_base,reworded,4096,122/25,,False,False,False,incomplete,4096,77.8923408749979
changing_percentage_base-04-direct,changing_percentage_base-04,changing_percentage_base,direct,256,-867/25,,False,False,False,incomplete,4096,78.58342029199775
changing_percentage_base-04-direct,changing_percentage_base-04,changing_percentage_base,direct,1024,-867/25,,False,False,False,incomplete,4096,78.58342029199775
changing_percentage_base-04-direct,changing_percentage_base-04,changing_percentage_base,direct,4096,-867/25,,False,False,False,incomplete,4096,78.58342029199775
changing_percentage_base-04-reworded,changing_percentage_base-04,changing_percentage_base,reworded,256,-867/25,,False,False,False,incomplete,4096,77.04568579200713
changing_percentage_base-04-reworded,changing_percentage_base-04,changing_percentage_base,reworded,1024,-867/25,,False,False,False,incomplete,4096,77.04568579200713
changing_percentage_base-04-reworded,changing_percentage_base-04,changing_percentage_base,reworded,4096,-867/25,,False,False,False,incomplete,4096,77.04568579200713
changing_percentage_base-05-direct,changing_percentage_base-05,changing_percentage_base,direct,256,-693/50,,False,False,False,incomplete,4096,81.26870337499713
changing_percentage_base-05-direct,changing_percentage_base-05,changing_percentage_base,direct,1024,-693/50,,False,False,False,incomplete,4096,81.26870337499713
changing_percentage_base-05-direct,changing_percentage_base-05,changing_percentage_base,direct,4096,-693/50,,False,False,False,incomplete,4096,81.26870337499713
changing_percentage_base-05-reworded,changing_percentage_base-05,changing_percentage_base,reworded,256,-693/50,,False,False,False,incomplete,4096,76.28155420799885
changing_percentage_base-05-reworded,changing_percentage_base-05,changing_percentage_base,reworded,1024,-693/50,,False,False,False,incomplete,4096,76.28155420799885
changing_percentage_base-05-reworded,changing_percentage_base-05,changing_percentage_base,reworded,4096,-693/50,,False,False,False,incomplete,4096,76.28155420799885
changing_percentage_base-06-direct,changing_percentage_base-06,changing_percentage_base,direct,256,-29/2,,False,False,False,incomplete,1841,33.132639083996764
changing_percentage_base-06-direct,changing_percentage_base-06,changing_percentage_base,direct,1024,-29/2,,False,False,False,incomplete,1841,33.132639083996764
changing_percentage_base-06-direct,changing_percentage_base-06,changing_percentage_base,direct,4096,-29/2,-29/200,True,False,False,wrong,1841,33.132639083996764
changing_percentage_base-06-reworded,changing_percentage_base-06,changing_percentage_base,reworded,256,-29/2,,False,False,False,incomplete,4096,77.88435012500122
changing_percentage_base-06-reworded,changing_percentage_base-06,changing_percentage_base,reworded,1024,-29/2,,False,False,False,incomplete,4096,77.88435012500122
changing_percentage_base-06-reworded,changing_percentage_base-06,changing_percentage_base,reworded,4096,-29/2,,False,False,False,incomplete,4096,77.88435012500122
changing_percentage_base-07-direct,changing_percentage_base-07,changing_percentage_base,direct,256,-2797/100,,False,False,False,incomplete,4096,77.88132724999741
changing_percentage_base-07-direct,changing_percentage_base-07,changing_percentage_base,direct,1024,-2797/100,,False,False,False,incomplete,4096,77.88132724999741
changing_percentage_base-07-direct,changing_percentage_base-07,changing_percentage_base,direct,4096,-2797/100,,False,False,False,incomplete,4096,77.88132724999741
changing_percentage_base-07-reworded,changing_percentage_base-07,changing_percentage_base,reworded,256,-2797/100,,False,False,False,incomplete,4096,77.84396195899899
changing_percentage_base-07-reworded,changing_percentage_base-07,changing_percentage_base,reworded,1024,-2797/100,,False,False,False,incomplete,4096,77.84396195899899
changing_percentage_base-07-reworded,changing_percentage_base-07,changing_percentage_base,reworded,4096,-2797/100,,False,False,False,incomplete,4096,77.84396195899899
conditional_without_replacement-00-direct,conditional_without_replacement-00,conditional_without_replacement,direct,256,1/6,,False,False,False,incomplete,1383,24.752112541995302
conditional_without_replacement-00-direct,conditional_without_replacement-00,conditional_without_replacement,direct,1024,1/6,,False,False,False,incomplete,1383,24.752112541995302
conditional_without_replacement-00-direct,conditional_without_replacement-00,conditional_without_replacement,direct,4096,1/6,1/6,True,True,True,correct,1383,24.752112541995302
conditional_without_replacement-00-reworded,conditional_without_replacement-00,conditional_without_replacement,reworded,256,1/6,,False,False,False,incomplete,1024,18.628160708001815
conditional_without_replacement-00-reworded,conditional_without_replacement-00,conditional_without_replacement,reworded,1024,1/6,1/6,True,True,True,correct,1024,18.628160708001815
conditional_without_replacement-00-reworded,conditional_without_replacement-00,conditional_without_replacement,reworded,4096,1/6,1/6,True,True,True,correct,1024,18.628160708001815
conditional_without_replacement-01-direct,conditional_without_replacement-01,conditional_without_replacement,direct,256,2/7,,False,False,False,incomplete,1784,32.58665695799573
conditional_without_replacement-01-direct,conditional_without_replacement-01,conditional_without_replacement,direct,1024,2/7,,False,False,False,incomplete,1784,32.58665695799573
conditional_without_replacement-01-direct,conditional_without_replacement-01,conditional_without_replacement,direct,4096,2/7,52/177,True,False,False,wrong,1784,32.58665695799573
conditional_without_replacement-01-reworded,conditional_without_replacement-01,conditional_without_replacement,reworded,256,2/7,,False,False,False,incomplete,918,18.573535667004762
