id,pair,family,variant,budget,expected,parsed,complete,correct,formatted_answer_matches,reason,tokens,seconds
changing_percentage_base-00-direct,changing_percentage_base-00,changing_percentage_base,direct,256,-206/5,,False,False,False,incomplete,4096,88.43236237500241
changing_percentage_base-00-direct,changing_percentage_base-00,changing_percentage_base,direct,1024,-206/5,,False,False,False,incomplete,4096,88.43236237500241
changing_percentage_base-00-direct,changing_percentage_base-00,changing_percentage_base,direct,4096,-206/5,,False,False,False,incomplete,4096,88.43236237500241
changing_percentage_base-00-reworded,changing_percentage_base-00,changing_percentage_base,reworded,256,-206/5,,False,False,False,incomplete,4096,89.56838183299988
changing_percentage_base-00-reworded,changing_percentage_base-00,changing_percentage_base,reworded,1024,-206/5,,False,False,False,incomplete,4096,89.56838183299988
changing_percentage_base-00-reworded,changing_percentage_base-00,changing_percentage_base,reworded,4096,-206/5,,False,False,False,incomplete,4096,89.56838183299988
changing_percentage_base-01-direct,changing_percentage_base-01,changing_percentage_base,direct,256,124/25,,False,False,False,incomplete,2688,58.29460945800383
changing_percentage_base-01-direct,changing_percentage_base-01,changing_percentage_base,direct,1024,124/25,,False,False,False,incomplete,2688,58.29460945800383
changing_percentage_base-01-direct,changing_percentage_base-01,changing_percentage_base,direct,4096,124/25,124/25,True,True,True,correct,2688,58.29460945800383
changing_percentage_base-01-reworded,changing_percentage_base-01,changing_percentage_base,reworded,256,124/25,,False,False,False,incomplete,4096,87.32804262499849
changing_percentage_base-01-reworded,changing_percentage_base-01,changing_percentage_base,reworded,1024,124/25,,False,False,False,incomplete,4096,87.32804262499849
changing_percentage_base-01-reworded,changing_percentage_base-01,changing_percentage_base,reworded,4096,124/25,,False,False,False,incomplete,4096,87.32804262499849
changing_percentage_base-02-direct,changing_percentage_base-02,changing_percentage_base,direct,256,-65/4,,False,False,False,incomplete,2013,43.99376029099949
changing_percentage_base-02-direct,changing_percentage_base-02,changing_percentage_base,direct,1024,-65/4,,False,False,False,incomplete,2013,43.99376029099949
changing_percentage_base-02-direct,changing_percentage_base-02,changing_percentage_base,direct,4096,-65/4,,True,False,False,format,2013,43.99376029099949
changing_percentage_base-02-reworded,changing_percentage_base-02,changing_percentage_base,reworded,256,-65/4,,False,False,False,incomplete,4096,92.46741129200382
changing_percentage_base-02-reworded,changing_percentage_base-02,changing_percentage_base,reworded,1024,-65/4,,False,False,False,incomplete,4096,92.46741129200382
changing_percentage_base-02-reworded,changing_percentage_base-02,changing_percentage_base,reworded,4096,-65/4,,False,False,False,incomplete,4096,92.46741129200382
changing_percentage_base-03-direct,changing_percentage_base-03,changing_percentage_base,direct,256,122/25,,False,False,False,incomplete,4096,105.7291544999971
changing_percentage_base-03-direct,changing_percentage_base-03,changing_percentage_base,direct,1024,122/25,,False,False,False,incomplete,4096,105.7291544999971
